SMILES,CB1
CCCCN1C(=O)CNC1=S,1
O=C1N(CCc2ccccc2)C(=S)NC1(c3ccccc3)c4ccccc4,1
CCCCCN1C=C(C(=O)NC23CC4CC(C)(CC(C)(C4)C2)C3)C(=O)c5ccccc15,0
CCCCCCCCN1C(=O)NC(C1=O)(c2ccc(OC)cc2)c3ccc(OC)cc3,1
CCCCCN1C=C(C(=O)Nc2ccc(cc2)C#N)C(=O)c3ccccc13,1
O=C1NC(=S)N(C1c2ccccc2)c3ccccc3,1
Fc1ccc(cc1)C2(NC(=O)N(C2=O)c3ccccc3)c4ccc(F)cc4,1
O=C(NC(=S)Nc1ccc(cc1)S(=O)(=O)Nc2ccccc2)c3ccc(cc3)c4ccccc4,0
CC(C)c1ccc(cc1)C(=O)NC(=S)Nc2ccc(cc2)S(=O)(=O)NC(=O)C,0
O=C(NCCc1ccccc1)c2ccc(NC(=S)NC(=O)c3ccc(cc3)c4ccccc4)cc2,0
O=C(NC(=S)Nc1ccc(cc1)S(=O)(=O)NCCc2ccccc2)c3ccc(cc3)c4ccccc4,0
CC(=O)NS(=O)(=O)c1ccc(NC(=S)NC(=O)c2cccc3ccccc23)cc1,0
O=C(NC(=S)Nc1ccc(cc1)S(=O)(=O)NCc2occc2)c3ccc(cc3)c4ccccc4,0
Ic1ccc(CNS(=O)(=O)c2ccc(NC(=S)NC(=O)c3ccc(cc3)c4ccccc4)cc2)cc1,0
O=C(NC(=S)Nc1ccc(cc1)S(=O)(=O)NCc2ccccc2)c3ccc(cc3)c4ccccc4,0
CC(C)NS(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccc(C)cc2Br)cc1,0
O=C(NC(=S)Nc1ccc(cc1)S(=O)(=O)NCCc2c[nH]c3ccccc23)c4ccc(cc4)c5ccccc5,0
[O-][N+](=O)c1ccc(cc1)C(=O)NC(=S)Nc2ccc(cc2)S(=O)(=O)N(CC=C)CC=C,0
COc1ccc(cc1)C(=O)NC(=S)Nc2ccc(cc2)S(=O)(=O)NC(C)C,0
Fc1ccc(CNS(=O)(=O)c2ccc(NC(=S)NC(=O)c3ccc(cc3)c4ccccc4)cc2)cc1,0
CN1CCN(CC1)S(=O)(=O)c2ccc(NC(=S)NC(=O)c3ccc(cc3)c4ccccc4)cc2,0
C=CCNS(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccc(cc2)c3ccccc3)cc1,0
O=C(NCc1ccccc1)c2ccc(NC(=S)NC(=O)c3ccc(cc3)c4ccccc4)cc2,0
Clc1ccc(NS(=O)(=O)c2ccc(NC(=S)NC(=O)c3ccc(cc3)c4ccccc4)cc2)cc1,0
CCCCc1ccc(NS(=O)(=O)c2ccc(NC(=S)NC(=O)c3ccc(cc3)c4ccccc4)cc2)cc1,0
CC(C)CNS(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccc(cc2)c3ccccc3)cc1,0
CCCNS(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccc(cc2)c3ccccc3)cc1,0
COc1ccc(CNS(=O)(=O)c2ccc(NC(=S)NC(=O)c3ccc(cc3)c4ccccc4)cc2)cc1,0
Cc1ccc(CNS(=O)(=O)c2ccc(NC(=S)NC(=O)c3ccc(cc3)c4ccccc4)cc2)cc1,0
CN(C)S(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccc(cc2)c3ccccc3)cc1,0
Cc1ccc(cc1)C(=O)NC(=S)Nc2ccc(cc2)S(=O)(=O)NC(C)(C)C,0
Clc1ccc(cc1)C(NC(=O)Nc2ccccc2)c3ccc(Cl)cc3,0
Brc1ccc(cc1)N2C(=O)NC(C2=O)(c3ccccc3)c4ccccc4,1
COc1ccc(cc1)C2=CC(=O)c3c(O)c(OC)c(OC)cc3O2,1
CCCCCN1C(=S)NC(C1=O)(c2ccccc2)c3ccccc3,1
CCCCCCNC(=O)Oc1cccc(c1)c2ccc(cc2F)[C@H](C)C(=O)O,1
Cn1cnc2N=CN(Cc3onc(CCc4ccc(Cl)cc4)n3)C(=O)c12,0
Brc1ccc(cc1)N2C(C(=O)NC2=O)c3ccccc3,1
Ic1ccc(cc1)N2C(C(=O)NC2=O)c3ccccc3,1
CCCCCCCCN1C(=O)NC(C1=O)(c2ccc(C)cc2)c3ccc(C)cc3,1
CCN1C(=O)NC(C1=O)(c2ccccc2)c3ccccc3,1
CC12CC3CC(C)(C1)CC(C3)(C2)NC(=O)C4=CN(Cc5ccccc5)c6ccccc6C4=O,1
CCCCCCCCCCCCCCN1C(=S)NC(C1=O)(c2ccccc2)c3ccccc3,1
Brc1ccc(cc1)C2N(C(=O)NC2=O)c3ccccc3,1
Clc1ccc(cc1)N2C(C(=O)NC2=O)c3ccccc3,1
